Array Size,Delay (sec),CPU Temperature (C)
4960001,0.786050,91.00
4980001,0.794329,91.00
5000001,0.863323,91.00
5020001,0.843033,91.00
5040001,0.940933,91.00
5060001,0.806408,91.00
5080001,0.823257,91.00
5100001,0.821777,91.00
5120001,1.494018,92.00
5140001,0.899807,60.00
5160001,0.988135,79.00
5180001,0.914174,81.00
5200001,0.873038,81.00
5220001,0.817083,81.00
5240001,0.861186,84.00
5260001,0.911131,82.00
5280001,0.855803,81.00
5300001,0.879101,91.00
5320001,0.866784,91.00
5340001,0.875981,91.00
5360001,0.901496,91.00
5380001,0.899910,91.00
5400001,0.891214,91.00
5420001,0.877643,91.00
5440001,0.892188,91.00
5460001,0.898843,91.00
5480001,0.884695,91.00
5500001,0.888702,91.00
5520001,0.880181,91.00
5540001,0.893580,91.00
5560001,1.010127,91.00
5580001,1.685844,91.00
5600001,0.936637,60.00
5620001,0.951563,89.00
5640001,1.042274,91.00
5660001,1.471097,92.00
5680001,0.964557,89.00
5700001,0.961315,91.00
5720001,0.963993,91.00
5740001,1.030950,91.00
5760001,1.745752,92.00
5780001,1.078132,60.00
5800001,1.108552,91.00
5820001,1.120384,91.00
5840001,1.076204,91.00
5860001,1.818242,91.00
5880001,1.015260,61.00
5900001,1.009961,89.00
5920001,1.010727,91.00
5940001,1.030964,91.00
5960001,1.003402,91.00
5980001,1.015946,91.00
