Array Size,Delay (sec),CPU Temperature (C)
4960001,0.928597,64.00
4980001,0.932349,65.00
5000001,0.936863,65.00
5020001,0.939980,65.00
5040001,0.943255,65.00
5060001,0.946890,65.00
5080001,0.949545,65.00
5100001,0.953935,65.00
5120001,0.957273,64.00
5140001,0.959851,64.00
5160001,0.963682,64.00
5180001,0.966944,65.00
5200001,0.969762,64.00
5220001,0.972782,65.00
5240001,0.975541,65.00
5260001,0.980207,65.00
5280001,0.985643,65.00
5300001,0.990228,65.00
5320001,0.995656,65.00
5340001,1.000128,66.00
5360001,1.003778,65.00
5380001,1.007847,65.00
5400001,1.012884,65.00
5420001,1.016022,65.00
5440001,1.021148,65.00
5460001,1.025691,66.00
5480001,1.029452,65.00
5500001,1.033536,65.00
5520001,1.038221,65.00
5540001,1.042005,66.00
5560001,1.046839,65.00
5580001,1.050963,65.00
5600001,1.055359,65.00
5620001,1.059050,65.00
5640001,1.063975,65.00
5660001,1.067722,65.00
5680001,1.070832,66.00
5700001,1.074212,66.00
5720001,1.076513,66.00
5740001,1.080579,66.00
5760001,1.084422,65.00
5780001,1.087599,66.00
5800001,1.092675,65.00
5820001,1.096530,66.00
5840001,1.101299,66.00
5860001,1.105623,66.00
5880001,1.110047,66.00
5900001,1.113559,66.00
5920001,1.118135,66.00
5940001,1.121932,66.00
5960001,1.125589,66.00
5980001,1.129921,66.00
